Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
542772,360 ONE WAM LTD,Batlivala & Karani Resources Management Pvt. Ltd,Connected Person,Disposal,Market Sale,Equity,375000,419628750.00,4868018,1.20,4493018,1.10,20 Jul 2026,20 Jul 2026,21 Jul 2026,BSE
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Disposal,ESOS,Equity,10910,12823614.00,7799619,0.29,7788709,0.29,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
532281,HCL Technologies Ltd,Rahul Singh,Designated Person,Acquisition,ESOS,Equity,3579,4206757.00,153688,0.01,157267,0.01,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
532281,HCL Technologies Ltd,Gaurav Khosla,Designated Person,Acquisition,ESOS,Equity,984,1156594.00,0,0.00,984,0.00,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
540376,Avenue Supermarts Ltd,Rajeshkumar Jain,Designated Person,Disposal,Gift,Equity,25000,98797500.00,257301,0.04,232301,0.04,17 Jul 2026,17 Jul 2026,17 Jul 2026,NA
540376,Avenue Supermarts Ltd,Harish Parmanand Joshi,Designated Person,Invoke,Invocation of pledge,Equity,100,394632.00,19955,0.00,19855,0.00,17 Jul 2026,17 Jul 2026,17 Jul 2026,NSE
540376,Avenue Supermarts Ltd,Trevor Raymond Martis,Designated Person,Disposal,Market Sale,Equity,1000,3980000.00,46000,0.01,45000,0.01,20 Jul 2026,20 Jul 2026,20 Jul 2026,NSE
540376,Avenue Supermarts Ltd,Parag B Lokhande,Designated Person,,Pledge Creation,Equity,40000,158000000.00,132800,0.02,132800,0.02,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
540376,Avenue Supermarts Ltd,Elvin Elias Machado,Director,Disposal,Market Sale,Equity,8000,31732000.00,350000,0.05,342000,0.05,16 Jul 2026,17 Jul 2026,17 Jul 2026,NSE
540376,Avenue Supermarts Ltd,Sudipta Chatterjee,Designated Person,Disposal,Market Sale,Equity,12500,49522871.00,104475,0.02,91975,0.01,17 Jul 2026,17 Jul 2026,20 Jul 2026,NSE
540550,Yug Decor Ltd,Chandresh Saraswat HUF,Promoter Group,Acquisition,Market Purchase,Equity,20700,499077.00,890756,5.50,911456,5.63,21 Jul 2026,21 Jul 2026,21 Jul 2026,BSE
542772,360 ONE WAM LTD,MAYUR PATEL,Designated Person,Disposal,Market Sale,Equity,23000,25684225.00,73000,0.01,50000,0.01,20 Jul 2026,20 Jul 2026,21 Jul 2026,NSE
544506,Sharvaya Metals Ltd,SHREYANS RAVINDRA KATARIYA,Promoter,Acquisition,Market Purchase,Equity,13800,1405410.00,5491863,54.75,5505663,54.89,19 Jun 2026,19 Jun 2026,20 Jul 2026,BSE
542721,Anand Rayons Ltd,ANAND GOKULBHAI BAKSHI,Promoter,Acquisition,Conversion of security,Equity,219231,12825013.00,5718652,26.64,5937883,27.10,20 Jul 2026,20 Jul 2026,20 Jul 2026,NA
542721,Anand Rayons Ltd,SHILPA ANAND BAKSHI,Promoter Group,Acquisition,Conversion of security,Equity,109616,6412536.00,1278564,5.96,1388180,6.34,20 Jul 2026,20 Jul 2026,20 Jul 2026,NA
542721,Anand Rayons Ltd,MALAYA ANAND BAKSHI,Promoter Group,Acquisition,Conversion of security,Equity,109616,6412536.00,1390384,6.48,1500000,6.85,20 Jul 2026,20 Jul 2026,20 Jul 2026,NA
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Disposal,Market Sale,Any other instrument,32525000,2472241513.00,227250000,34.22,194725000,29.33,30 Jun 2026,30 Jun 2026,01 Jul 2026,BSE
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Disposal,Market Sale,Any other instrument,7225000,549100000.00,194725000,29.33,187500000,28.24,30 Jun 2026,30 Jun 2026,01 Jul 2026,BSE
540718,Aayush Art And Bullion Ltd,EKLINGJI BROKING LLP,Other,Acquisition,Market Purchase,Equity,6250,7288084.00,49625,0.32,55875,0.36,17 Jul 2026,17 Jul 2026,20 Jul 2026,BSE
504341,Ravindra Energy Ltd,ABHAY WADHWA,Promoter Group,Disposal,Market Sale,Any other instrument,27777,1538742.00,27777,0.14,0,0.00,19 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,9,5057.00,1036260,0.06,1036251,0.06,17 Jun 2026,17 Jun 2026,19 Jun 2026,NSE
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,78,44753.00,1036251,0.06,1036173,0.06,18 Jun 2026,18 Jun 2026,22 Jun 2026,NSE
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,661,383973.00,1036173,0.06,1035512,0.06,22 Jun 2026,22 Jun 2026,22 Jun 2026,NSE
533148,JSW Energy Ltd,JSW Energy Employees ESOP Trust,Trust,Disposal,ESOP,Equity Shares,1000,51960.00,21000,0.06,20000,0.06,18 Jun 2026,18 Jun 2026,22 Jun 2026,NA
530445,Sumeru Industries Ltd,Pooja Raja,Promoters Immediate Relative,Acquisition,Off Market,Equity Shares,65000,104000.00,1214407,1.69,1279407,1.78,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
530445,Sumeru Industries Ltd,Pooja Raja,Promoters Immediate Relative,Acquisition,Off Market,Equity Shares,65000,104000.00,1214407,1.69,1279407,1.78,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531553,Disha Resources Ltd,Mayadevi Krishnavtar Kabra,Promoter,Acquisition,Off Market,Equity Shares,244448,0.00,678000,9.27,922448,12.61,19 Jun 2026,19 Jun 2026,20 Jun 2026,BSE
531553,Disha Resources Ltd,Radhadevi Premnarayan Maheshwari,Promoters Immediate Relative,Disposal,Off Market,Equity Shares,244448,0.00,244448,3.34,0,0.00,19 Jun 2026,19 Jun 2026,20 Jun 2026,BSE
544759,Goldline Pharmaceutical Ltd,Swapan Khandelwal,Promoter & Director,Acquisition,Market Purchase,Equity Shares,60000,2595960.00,2749988,28.65,2809988,29.27,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
512441,Enbee Trade & Finance Ltd,BHARATHI NARENDRA GALA,Promoter Group,Disposal,Market Sale,Equity Shares,6900000,1740612.00,21581410,3.08,14681410,2.09,19 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
512441,Enbee Trade & Finance Ltd,MEYHUL GAALA,Promoter Group,Disposal,Market Sale,Equity Shares,6850000,2073689.00,28869300,4.13,22019300,3.15,19 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
501423,Shaily Engineering Plastics Ltd,Purnendu Mallick,Designated Person,Pledge,Creation Of Pledge,Equity Shares,1500,4097100.00,1508,0.00,1508,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
501423,Shaily Engineering Plastics Ltd,Mitesh Patel,Designated Person,Pledge,Creation Of Pledge,Equity Shares,3500,9559900.00,8555,0.02,8555,0.02,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
544227,Unicommerce Esolutions Ltd,KAPIL MAKHIJA,KMP,Disposal,Market Sale,Equity Shares,40000,3583700.00,625240,0.55,585240,0.52,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Time Securities Services Private Limited,Promoter,Acquisition,Inter-se Transfer,Equity Shares,1000000,178024228.00,84692772,17.16,85692772,17.36,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Raghupathy Thyagarajan,Promoter & Director,Disposal,Inter-se Transfer,Equity Shares,400000,71352000.00,9077500,1.84,8677500,1.76,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Naveen Kumar Jain,Promoter & Director,Disposal,Inter-se Transfer,Equity Shares,200000,35304000.00,8997500,1.82,8797500,1.78,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Vishal Anil Jain,Promoter Group,Disposal,Inter-se Transfer,Equity Shares,400000,71316000.00,599880,0.12,199880,0.04,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2000,1443534.00,3403366,18.32,3405366,18.33,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1000,724494.00,3405366,18.33,3406366,18.34,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2000,1508906.00,3406366,18.34,3408366,18.35,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2500,1945278.00,3408366,18.35,3410866,18.36,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2500,1937917.00,3410866,18.36,3413366,18.38,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
533108,Bhilwara Technical Textiles Ltd,DIPLOMAT LEASING AND FINANCE PRIVATE LIMITED,Promoter Group,Acquisition,Market Purchase,Equity Shares,100000,3471000.00,1828504,3.13,1928504,3.30,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531456,Minaxi Textiles Ltd,Kiritkumar Shambhubhai Patel,Promoter,Acquisition,Market Purchase,Equity Shares,1963,3297.00,9162458,18.52,9164421,18.53,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531456,Minaxi Textiles Ltd,Dinehkumar Purushottambhai  Patel,Promoter,Acquisition,Market Purchase,Equity Shares,4275,7182.00,9156457,18.53,9160732,18.54,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
500209,Infosys Ltd,Amit Kalley,Designated Person,Acquisition,ESOP,Any other instrument,635,766081.00,13639,0.00,14274,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Joseph J. Alenchery,Designated Person,Acquisition,ESOP,Any other instrument,920,1109912.00,12125,0.00,13045,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Rakesh Babu Gollapalli,Designated Person,Acquisition,ESOP,Any other instrument,1083,1306560.00,0,0.00,1083,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Ramesh J. Chougule,Designated Person,Acquisition,ESOP,Any other instrument,1312,1582832.00,3351,0.00,4663,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Suresh MSR,Designated Person,Acquisition,ESOP,Any other instrument,1069,1289670.00,317,0.00,1386,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Venkateshwaran Ananthakrishnan,Designated Person,Acquisition,ESOP,Any other instrument,3828,4618201.00,27107,0.00,30935,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
539289,Aurum PropTech Ltd,Jitendra Jagadev,Designated Person,Disposal,Market Sale,Equity Shares,9000,1724383.00,98000,0.13,89000,0.12,02 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
539289,Aurum PropTech Ltd,Jitendra Jagadev,Designated Person,Disposal,Market Sale,Equity Shares,2500,472933.00,89000,0.12,86500,0.11,02 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
539524,Dr. Lal PathLabs Ltd,Dr. Lal PathLabs Employee Welfare Trust,Other,Disposal,ESOP,Equity Shares,2346,11730.00,640996,0.38,638650,0.38,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
539524,Dr. Lal PathLabs Ltd,Satish Kumar Singh,Designated Person,Acquisition,ESOP,Equity Shares,1474,7370.00,560,0.00,2034,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
539524,Dr. Lal PathLabs Ltd,Prashant Kishore,Designated Person,Disposal,Market Sale,Equity Shares,600,990600.00,4528,0.00,3928,0.00,17 Jun 2026,17 Jun 2026,22 Jun 2026,NSE
539524,Dr. Lal PathLabs Ltd,Prashant Kishore,Designated Person,Acquisition,ESOP,Equity Shares,872,4360.00,3928,0.00,4800,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
543593,Dhampur Bio Organics Ltd,DBO Employee Welfare Trust,Trust,Acquisition,Market Purchase,Equity Shares,10000,1147931.00,639383,0.96,649383,0.98,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
543593,Dhampur Bio Organics Ltd,DBO Employee Welfare Trust,Trust,Acquisition,Market Purchase,Equity Shares,10000,1135197.00,649383,0.98,659383,0.99,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532100,Indo City Infotech Ltd-$,Aneel Jain,Promoter & Director,Acquisition,Market Purchase,Equity Shares,5000,79057.00,2070000,19.90,2075000,19.95,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
542772,360 ONE WAM LTD,PRIYA PRADIP BISWAS,Designated Person,Disposal,Market Sale,Equity Shares,1300,1495960.00,45020,0.00,43720,0.00,19 Jun 2026,22 Jun 2026,22 Jun 2026,NSE
523850,Axtel Industries Ltd,MEENA PATHAK,Directors Immediate Relative,Disposal,Market Sale,Equity Shares,18100,8154231.00,1062710,6.58,1044610,6.47,19 Jun 2026,19 Jun 2026,20 Jun 2026,BSE
544726,Kotyark Industries Ltd,BHAVINIBEN GAURANG SHAH,Promoter Group,Disposal,Market Sale,Equity Shares,9500,3800000.00,595120,5.79,585620,5.70,18 Jun 2026,18 Jun 2026,20 Jun 2026,NSE
544726,Kotyark Industries Ltd,BHAVINIBEN GAURANG SHAH,Promoter Group,Disposal,Market Sale,Equity Shares,23051,9091314.00,585620,5.70,562569,5.47,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
542123,The Phosphate Company Ltd,DEVENDRA FINVEST & HOLDING PVT. LTD.,Promoter Group,Disposal,Off Market,Equity Shares,28000,4347000.00,34730,0.96,6730,0.19,22 Jun 2026,22 Jun 2026,23 Jun 2026,NA
542123,The Phosphate Company Ltd,RAMESH KUMAR BANGUR,Promoter Group,Acquisition,Off Market,Equity Shares,28000,4347000.00,90990,2.52,118990,3.30,22 Jun 2026,22 Jun 2026,23 Jun 2026,NA
532443,Cera Sanitaryware Ltd,Cera Sanitaryware Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,707,4389763.00,4576,0.04,3869,0.03,18 Jun 2026,18 Jun 2026,22 Jun 2026,NSE
544578,Rubicon Research Ltd,DINESH BHASKAR RAJADHYAX,Employee,Disposal,Market Sale,Equity Shares,2282,1363.00,32282,0.02,30000,0.02,17 Jun 2026,17 Jun 2026,19 Jun 2026,NSE
539598,AMPL Capital Ltd,Mohit K Chheda,Director,Disposal,Market Sale,Equity Shares,1187935,350440826.00,1187935,1.93,0,0.00,19 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
539598,AMPL Capital Ltd,Dilip Nanji Chheda,Directors Immediate Relative,Disposal,Market Sale,Equity Shares,105648,3012024.00,2513985,4.09,2408337,3.91,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
539598,AMPL Capital Ltd,"Laxmi Trading  & investment partnership firm (Partner : Mohit K Chheda, Dilip Nanji Chheda and Nayna Dilip Chheda)",Other,Disposal,Market Sale,Equity Shares,616417,18184302.00,616417,1.00,0,0.00,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
543377,Adishakti Loha and Ispat Ltd,PAWAN KUMAR MITTAL,Promoter,Disposal,Market Sale,Equity Shares,20000,293000.00,392525,3.12,372525,2.97,19 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
543377,Adishakti Loha and Ispat Ltd,PAWAN KUMAR MITTAL,Promoter,Disposal,Market Sale,Equity Shares,200000,2910000.00,372525,2.97,172525,1.37,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
517372,Gujarat Intrux Ltd-$,Jignesh Bhupatlal Dhorda,Promoter Group,Disposal,Market Sale,Equity Shares,1002,433293.00,25022,0.73,24020,0.70,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
532354,Virgo Global Ltd,Shri Nakoda Logistics Private Limited,Promoter,Disposal,Market Sale,Equity Shares,1115797,7844053.00,3254150,30.98,2138353,20.36,17 Jun 2026,17 Jun 2026,18 Jun 2026,BSE
530499,AK Capital Services Ltd,A. K. Mittal,Promoter & Director,Acquisition,Market Purchase,Equity Shares,10,17350.00,1169121,17.71,1169131,17.71,18 Jun 2026,18 Jun 2026,22 Jun 2026,BSE
532683,AIA Engineering Ltd,S. N. Jetheliya,KMP,Disposal,Market Sale,Equity Shares,50,233000.00,5600,0.01,5550,0.01,19 Jun 2026,19 Jun 2026,23 Jun 2026,NSE
532683,AIA Engineering Ltd,S. N. Jetheliya,KMP,Disposal,Market Sale,Equity Shares,100,477000.00,5550,0.01,5450,0.01,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
517500,Roto Pumps Ltd,Shalini Gupta,Promoter Group,Disposal,Market Sale,Equity Shares,1000,65240.00,627043,0.33,626043,0.33,18 Jun 2026,19 Jun 2026,20 Jun 2026,NSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,80273,10671493.00,522826697,50.36,522906970,50.37,18 Jun 2026,18 Jun 2026,19 Jun 2026,NSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,65000,8871850.00,522906970,50.37,522971970,50.37,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
540575,Star Cement Ltd,MAHABIR PRASAD AGARWAL FAMILY TRUST,Trust,Acquisition,Market Purchase,Equity Shares,16381,3491374.00,18374214,4.55,18390595,4.55,19 Jun 2026,19 Jun 2026,20 Jun 2026,NSE
540575,Star Cement Ltd,SUMITRA DEVI AGARWAL FAMILY TRUST,Trust,Acquisition,Market Purchase,Equity Shares,6805,1452853.00,18390409,4.55,18397214,4.55,19 Jun 2026,19 Jun 2026,20 Jun 2026,NSE
514030,Deepak Spinners Ltd-$,NANDINI DAGA,Promoter Group,Acquisition,Market Purchase,Equity Shares,15350,1777595.00,299509,4.17,314859,4.38,09 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,80273,10671493.00,522826697,50.36,522906970,50.37,18 Jun 2026,18 Jun 2026,19 Jun 2026,NSE
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Acquisition,Market Purchase,Equity Shares,65000,8871850.00,522906970,50.37,522971970,50.37,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
544137,Indus Infra Trust,Aadharshila Infratech Private Limited,Other,Acquisition,Preferential Offer,Any other instrument,25210084,2999999996.00,66450000,15.00,91660084,15.00,16 Jun 2026,16 Jun 2026,18 Jun 2026,NA
544137,Indus Infra Trust,Aadharshila Infratech Private Limited,Other,Acquisition,Preferential Offer,Any other instrument,25210084,2999999996.00,66450000,15.00,91660084,15.00,16 Jun 2026,16 Jun 2026,18 Jun 2026,NA
544248,Mach Travel Solutions Ltd,AMIT BHATIA,Promoter & Director,Acquisition,Market Purchase,Equity Shares,5400,780943.00,14072000,66.89,14077400,66.92,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
544248,Mach Travel Solutions Ltd,AMIT BHATIA,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1800,268172.00,14070200,66.88,14072000,66.89,18 Jun 2026,18 Jun 2026,22 Jun 2026,BSE
531869,Sacheta Metals Ltd,ANKIT SATISHKUMAR SHAH,Promoter Group,Acquisition,Market Purchase,Equity Shares,25625,99168.00,12756118,10.20,12781743,10.22,22 Jun 2026,22 Jun 2026,22 Jun 2026,BSE
526269,Crestchem Ltd,DIPAK NARENDRAPRASAD PATEL,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1000,141622.00,888039,29.60,889039,29.63,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
526829,Confidence Petroleum India Ltd,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,Promoter Group,Acquisition,Market Purchase,Equity Shares,1400000,98938000.00,11145698,3.35,12545698,3.77,19 Jun 2026,19 Jun 2026,23 Jun 2026,NSE
526829,Confidence Petroleum India Ltd,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,Promoter Group,Acquisition,Market Purchase,Equity Shares,1400000,98938000.00,11145698,3.35,12545698,3.77,19 Jun 2026,19 Jun 2026,23 Jun 2026,NSE
543241,Veer Global Infraconstruction Ltd,DEV VIJAY BHANSHALI,Promoter Group,Acquisition,Market Purchase,Equity Shares,3005,427822.00,340251,2.09,343256,2.11,16 Jun 2026,18 Jun 2026,19 Jun 2026,BSE
533014,Sicagen India Ltd,Twinshield Consultants Private Limited,Promoter Group,Acquisition,Off Market,Equity Shares,1545500,85002500.00,2059619,5.21,3605119,9.11,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
533014,Sicagen India Ltd,South India Travels Pvt. Ltd.,Promoter Group,Disposal,Off Market,Equity Shares,1545500,85002500.00,1940113,4.90,394613,1.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
500202,India Lease Development Ltd,RAJIV GUPTA,Promoter,Acquisition,Market Purchase,Equity Shares,60000,584305.00,913245,6.21,973245,6.62,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
940227,PRACHAY CAPITAL Ltd,Prachay Capital Holdings Private Limited,Promoter Group,Disposal,Off Market,Debentures,1500,1492521.00,10522,0.34,9022,0.29,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
940227,PRACHAY CAPITAL Ltd,Prachay Capital Holdings Private Limited,Promoter Group,Disposal,Off Market,Debentures,500,500000.00,9022,0.29,8522,0.27,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
940227,PRACHAY CAPITAL Ltd,Prachay Capital Holdings Private Limited,Promoter Group,Disposal,Off Market,Debentures,500,500000.00,8522,0.27,8022,0.26,20 Jun 2026,20 Jun 2026,22 Jun 2026,NA
500124,Dr Reddys Laboratories Ltd,Tricia Wetzel,Designated Person,Acquisition,ESOP,Any other instrument,4275,5419845.00,1275,0.00,5550,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
517393,Reganto Enterprises Ltd,VISTARA NETWORK PRIVATE LIMITED,Designated Person,Disposal,Market Sale,Equity Shares,54016,373767.00,22286661,15.23,22232645,15.19,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
533095,Bengal & Assam Company Ltd,Raghupati Singhania (Karta of Raghupati Singhania HUF),Promoter Group,Disposal,Inter-se Transfer,Equity Shares,30758,0.00,30758,0.27,0,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
533095,Bengal & Assam Company Ltd,Raghupati Singhania,Promoter Group,Acquisition,Inter-se Transfer,Equity Shares,15379,0.00,973516,8.54,988895,8.67,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
533095,Bengal & Assam Company Ltd,Sunanda Singhania,Promoter Group,Acquisition,Inter-se Transfer,Equity Shares,15379,0.00,21955,0.19,37334,0.33,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
514470,Winsome Textile Industries Ltd-$,SHILPA BAGRODIA,Promoter Group,Acquisition,Market Purchase,Equity Shares,90000,8191134.00,1078754,5.44,1168754,5.89,19 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Acquisition,Market Purchase,Equity Shares,78200,2323944.00,4570543,12.65,4648743,12.87,23 Jun 2026,23 Jun 2026,23 Jun 2026,BSE
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Acquisition,Market Purchase,Equity Shares,31815,897819.00,4538728,12.56,4570543,12.65,22 Jun 2026,23 Jun 2026,23 Jun 2026,BSE
526269,Crestchem Ltd,SONALBEN DUSHYANTBHAI PATEL,Directors Immediate Relative,Disposal,Market Sale,Equity Shares,1250,175882.00,9045,0.30,7795,0.26,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Acquisition,Market Purchase,Equity Shares,22513,642071.00,4516215,12.50,4538728,12.56,16 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
539436,Coffee Day Enterprises Ltd,Coffee Day Consolidations Private Limited (Revised),Promoter Group,Revoke,Pledge Released,Equity Shares,150000,3948000.00,5454823,2.58,5454823,2.58,24 Apr 2026,24 Apr 2026,27 Apr 2026,NA
539436,Coffee Day Enterprises Ltd,Coffee Day Consolidations Private Limited (Revised),Promoter Group,Revoke,Pledge Released,Equity Shares,4269780,100766808.00,5454823,2.58,5454823,2.58,26 Feb 2026,25 Mar 2026,07 Apr 2026,NA
539289,Aurum PropTech Ltd,Aurum RealEstate Developers Limited,Promoter,Acquisition,Market Purchase,Equity Shares,30000,6235185.00,36698355,47.87,36728355,47.91,22 Jun 2026,22 Jun 2026,22 Jun 2026,NSE
513119,Onix Solar Energy Ltd,"Onix Renewable 
Limited",Promoter,Disposal,Off Market,Equity Shares,1382246,532164710.00,19896131,53.97,18513885,50.22,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
533090,Landsmill Green Ltd,Lakhmendra Khurana,Promoter & Director,Disposal,Gift,Equity Shares,50000000,42000000.00,145791451,0.10,95791451,6.79,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
590066,KCP Ltd,VRK GRANDSONS INVESTMENT LTD,Promoter Group,Acquisition,Market Purchase,Equity Shares,35000,5779717.00,4354505,3.38,4389505,3.40,17 Jun 2026,18 Jun 2026,23 Jun 2026,NSE
504080,JSL Industries Ltd,SAATYAKI ANANT AMIN,Promoter Group,Disposal,Market Sale,Equity Shares,1000,853160.00,175674,14.96,174674,14.88,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
